date;match;link_jp;show;arena;other_data;link_en;ID
2017.05.22;KUSHIDA vs BUSHI;http://njpwworld.com/p/s_series_00440_3_08;BoSJ Day 5;Korakuen Hall;BoSJ Block B Match;;1314
2017.05.23;Jushin Liger vs Will Ospreay;http://njpwworld.com/p/s_archive_55_03_04;BoSJ Day 6;Korakuen Hall;BoSJ Block A Match;;1315
2017.05.23;Ricochet vs Dragon Lee;http://njpwworld.com/p/s_archive_55_03_07;BoSJ Day 6;Tochigi Sports Gym;BoSJ Block A Match;;1316
2017.05.25;KUSHIDA vs ACH;http://njpwworld.com/p/s_archive_55_04_07;BoSJ Day 7;Yoshitsune Arena;BoSJ Block B Match;;1317
2017.05.26;Will Ospreay vs Dragon Lee;http://njpwworld.com/p/s_archive_55_05_07;BoSJ Day 8;Nagano Regional Gym;BoSJ Block A Match;;1318
2017.05.27;KUSHIDA vs Yoshinobu Kanemaru;http://njpwworld.com/p/s_archive_55_06_07;BoSJ Day 9;Tsukuba Capio Arena;BoSJ Block B Match;;1319
2017.05.28;Marty Scurll vs Hiromu Takahashi;http://njpwworld.com/p/s_archive_55_07_07;BoSJ Day 10;New Sunpia ;BoSJ Block A Match;;1320
2017.05.29;Volador Jr. vs ACH;http://njpwworld.com/p/s_series_00440_4_07;BoSJ Day 11;Korakuen Hall;BoSJ Block B Match;;1321
2017.05.29;Ryusuke Taguchi vs KUSHIDA;http://njpwworld.com/p/s_series_00440_4_08;BoSJ Day 11;Korakuen Hall;BoSJ Block B Match;;1322
2017.05.31;Jushin Liger vs Taichi;http://njpwworld.com/p/s_series_00440_5_05;BoSJ Day 12;Korakuen Hall;BoSJ Block A Match;;1323
2017.05.31;Ricochet vs Marty Scurll;http://njpwworld.com/p/s_series_00440_5_07;BoSJ Day 12;Korakuen Hall;BoSJ Block A Match;;1324
2017.05.31;Will Ospreay vs Hiromu Takahashi;http://njpwworld.com/p/s_series_00440_5_08;BoSJ Day 12;Korakuen Hall;BoSJ Block A Match;;1325
2017.06.01;KUSHIDA vs Volador Jr.;http://njpwworld.com/p/s_series_00440_6_08;BoSJ Day 13;Aichi Prefectural Gym;BoSJ Block B Match;;1326
2017.06.03;Taguchi, Kojima, Juice, Ricochet & Dragon Lee vs Los Ingobernables de Japon;http://njpwworld.com/p/s_series_00440_7_06;BoSJ FINALS;Osaka Prefectural Gym;;https://njpwworld.com/p/s_series_00440_8_06;1327
2017.06.03;Kazuchika Okada & Gedo vs Kenny Omega & Marty Scurll;http://njpwworld.com/p/s_series_00440_7_07;BoSJ FINALS;Osaka Prefectural Gym;;https://njpwworld.com/p/s_series_00440_8_07;1328
2017.06.03;KUSHIDA vs Will Ospreay;http://njpwworld.com/p/s_series_00440_7_08;BoSJ FINALS;Osaka Prefectural Gym;BoSJ FINAL;https://njpwworld.com/p/s_series_00440_8_08;1329
2017.06.09;Okada & RPG Vice vs Omega & The Young Bucks;http://njpwworld.com/p/s_series_00441_2_07;Road to Dominion;Korakuen Hall;;;1330
2017.06.11;RPG Vice (c) vs The Young Bucks;https://njpwworld.com/p/s_series_00442_1_03;Dominion;Osaka-Jo Hall;IWGP Jr. Heavyweight Tag Titles;https://njpwworld.com/p/s_series_00442_2_03;1331
2017.06.11;Hiromu Takahashi (c) vs KUSHIDA;https://njpwworld.com/p/s_series_00442_1_06;Dominion;Osaka-Jo Hall;IWGP Jr. Heavyweight Title;https://njpwworld.com/p/s_series_00442_2_06;1332
2017.06.11;Minoru Suzuki (c) vs Hirooki Goto;https://njpwworld.com/p/s_series_00442_1_07;Dominion;Osaka-Jo Hall;NEVER Openweight Title Lumberjack Match;https://njpwworld.com/p/s_series_00442_2_07;1333
2017.06.11;Tetsuya Naito (c) vs Hiroshi Tanahashi;https://njpwworld.com/p/s_series_00442_1_08;Dominion;Osaka-Jo Hall;IWGP Intercontinental Title;https://njpwworld.com/p/s_series_00442_2_08;1334
